chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,pair
Mn-W-O,Mn,W,O,Mn3WO6_19158_POSCAR,35,local_max_drop,7.7198505067,-0.16460227738164,-0.0939486043302932,-0.0706536730513467,7.102262,15.130907,0.01116636,mp-19158,Mn3WO6,Trigonal,R-3,148,0.008992960499996,-2.133976629879308,False,1.8192,False,6.292047018401381,20,234.69614316221765,11.734807158110884,117.56561019406274,0.5009268947074412,50.09268947074412,Mn-W
Mn-Y-O,Mn,Y,O,YMnO3_1434307_POSCAR,35,global_gradient_fallback,5.0339315,-0.048220054554997,-0.0324422074078647,-0.0157778471471322,4.646706,9.487025,0.00647443,mp-1434307,YMnO3,Cubic,Pm-3m,221,0.325051983333333,-2.702431268586208,False,0.0,True,5.486572953630488,5,58.06198077710698,11.612396155421395,43.593187861763866,0.7508043521476285,75.08043521476286,Mn-Y
Mn-Y-S,Mn,Y,S,Y_MnS2_2_1045492_POSCAR,35,global_gradient_fallback,8.1438484366,-0.076373232317106,-0.0726868367749598,-0.0036863955421461,7.492341,15.961943,0.00824398,mp-1045492,Y(MnS2)2,Monoclinic,C2/m,12,0.042000259642842,-1.468992667173655,False,0.0,True,3.681848980328758,14,294.9963021407044,21.071164438621743,141.25218835973934,0.4788269796424982,47.88269796424983,Mn-Y
Mn-Zn-O,Mn,Zn,O,Mn4ZnO8_1392820_POSCAR,35,global_gradient_fallback,7.0414404777,-0.086564462614833,-0.0746105502693186,-0.0119539123455143,4.172705,12.77891,0.0116428,mp-1392820,Mn4ZnO8,Trigonal,R-3m,166,0.088986821025639,-1.8195857901326271,False,0.0387,False,4.413158991606063,13,155.45832603918754,11.958332772245196,62.23826798945596,0.400353391003111,40.0353391003111,Mn-Zn
Mn-Zr-O,Mn,Zr,O,Zr4MnO9_763464_POSCAR,35,local_max_drop,9.0916127942,-0.40895068404808,-0.2329092564921081,-0.1760414275559718,8.778109,15.361691,0.03145961,mp-763464,Zr4MnO9,Triclinic,P1,1,0.04813884285714,-3.51104348520936,False,2.9462,False,5.429641652255753,56,689.7394353036311,12.316775630421985,447.54011373813535,0.6488538871800524,64.88538871800525,Mn-Zr
Mo-Ni-O,Mo,Ni,O,NiMoO3_977100_POSCAR,35,global_gradient_fallback,4.1240199,-0.065142301739563,-0.0543347179495049,-0.010807583790058,3.14211,9.622713,0.00944278,mp-977100,NiMoO3,Cubic,Pm-3m,221,0.936292619999999,-0.763874613,False,0.0,True,5.553437794465942,5,60.589080202351056,12.117816040470212,26.89779689005042,0.4439380297607934,44.393802976079336,Mo-Ni
Mo-Ti-O,Mo,Ti,O,TiMoO4_1216722_POSCAR,35,global_gradient_fallback,6.59347367,-0.031874783079434,-0.0278142730296823,-0.0040605100497516,5.651549,11.538579,0.00491479,mp-1216722,TiMoO4,Orthorhombic,Cmmm,65,0.053833767916666,-2.710971552222222,False,0.0,True,5.022528293809477,6,68.70397465807999,11.45066244301333,37.27289406216008,0.5425143777729979,54.25143777729979,Mo-Ti
Mo-V-O,Mo,V,O,V3MoO6_1216518_POSCAR,35,global_gradient_fallback,6.257870442,-0.075420138509689,-0.0493663358227274,-0.0260538026869615,5.562552,11.356876,0.00832563,mp-1216518,V3MoO6,Trigonal,R3,146,0.026905756312496,-2.328854931000001,False,1.0915,False,5.070675314896277,10,112.90191308917768,11.290191308917768,67.53155420665026,0.5981435775433601,59.814357754336015,Mo-V
Mo-V-S,Mo,V,S,V_MoS2_2_1192730_POSCAR,35,local_max_drop,8.938271887,-0.23703109858094,-0.1653802795289041,-0.0716508190520358,8.619048,15.641976,0.02125827,mp-1192730,V(MoS2)2,Monoclinic,C2/c,15,0.097903912500001,-1.041661281785714,False,0.0,True,5.386953192859946,28,457.5464501630861,16.340944648681646,259.983212142158,0.5682116253977942,56.82116253977942,Mo-V
Mo-Y-O,Mo,Y,O,Y6MoO12_1208998_POSCAR,35,local_max_drop,14.828368017,-0.11110020642295,-0.0493047287866665,-0.0617954776362834,12.783076,25.054829,0.00382832,mp-1208998,Y6MoO12,Triclinic,P-1,2,0.216838964605258,-3.358046277368421,False,2.414,False,3.749818643425961,19,363.7278535774789,19.143571240919943,202.13516490085613,0.5557318828149592,55.57318828149592,Mo-Y
Mo-Zn-O,Mo,Zn,O,Zn_Mo4O5_2_29325_POSCAR,35,local_max_drop,8.4079442352,-0.31733512547867,-0.2236524841740355,-0.0936826413046344,7.785134,15.258862,0.0296213,mp-29325,Zn(Mo4O5)2,Tetragonal,I4_1md,109,0.499143159605262,-1.125740696578948,False,0.0,True,6.27048154916779,38,525.8886158172166,13.83917410045307,284.07470390177053,0.5401803639737022,54.01803639737022,Mo-Zn
Mo-Zr-O,Mo,Zr,O,Zr9Mo4O3_1207427_POSCAR,35,local_max_drop,12.219475044,-0.83435683824745,-0.311182254395776,-0.5231745838516739,10.473836,21.384081,0.02867823,mp-1207427,Zr9Mo4O3,Hexagonal,P6_3/mmc,194,0.475318632968747,-0.713338585,False,0.0,True,7.374194075577027,32,564.2055193890969,17.63142248090928,533.7014589882307,0.9459344877839992,94.59344877839992,Mo-Zr
Mo-Zr-S,Mo,Zr,S,Zr9Mo4S_1207420_POSCAR,35,local_max_drop,12.268524156,-0.86321771793896,-0.2681662140655645,-0.5950515038733954,10.077716,21.469917,0.02413065,mp-1207420,Zr9Mo4S,Hexagonal,P6_3/mmc,194,0.025266055982143,-0.309810977321428,False,0.0,True,7.136657010176484,28,575.5699893411244,20.556071047897294,536.1739929375705,0.9315530741124084,93.15530741124084,Mo-Zr
Nb-Ni-O,Nb,Ni,O,Nb2Ni4O9_646749_POSCAR,35,local_max_drop,6.40316625,-0.53524764735495,-0.3786581357039427,-0.1565895116510073,5.890913,12.550206,0.05521477,mp-646749,Nb2Ni4O9,Orthorhombic,Pbcn,60,0.006433360500005,-2.076364263500001,False,2.535599999999999,False,5.732655746183038,60,654.1531756640027,10.902552927733378,318.9486945688099,0.4875749387672984,48.75749387672984,Nb-Ni
Nb-Ni-S,Nb,Ni,S,Nb3NiS6_1173526_POSCAR,35,local_max_drop,8.4383122795,-0.19313552992692,-0.1098679849260266,-0.0832675450008933,7.274407,14.257838,0.01606665,mp-1173526,Nb3NiS6,Hexagonal,P6_322,182,0.0,-1.281268931499998,True,0.0,True,5.009575797758172,20,351.23046346243416,17.561523173121707,185.0205891269791,0.5267783076190029,52.67783076190029,Nb-Ni
