chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,metal,ligand
Pd-S,Pd3S_558378_POSCAR,35,local_max_drop,5.919125043,-0.15752797080641,-0.0871319652327951,-0.0703960055736149,5.463808,11.155274,0.01515258,mp-558378,Pd3S,Orthorhombic,Cmcm,63,0.0,-0.262081896953123,True,0.0,True,9.224573992911775,8,126.4858168756918,15.810727109461476,77.19506388756102,0.6103060864399292,61.03060864399292,Pd,S
Rh-O,Rh2O3_1189664_POSCAR,35,local_max_drop,3.75801795,-0.17160266370137,-0.090013312894376,-0.081589350806994,3.201275,6.820107,0.02547567,mp-1189664,Rh2O3,Orthorhombic,Pnma,62,0.298614513499998,-0.798444742,False,0.0,True,7.184581499400283,20,234.64698234555385,11.73234911727769,110.40082696764256,0.4704975357622982,47.04975357622983,Rh,O
Rh-S,Rh17S15_21991_POSCAR,35,local_max_drop,13.9242096,-0.72864553689384,-0.4742183635684136,-0.2544271733254264,12.929623,24.367367,0.03972198,mp-21991,Rh17S15,Cubic,Pm-3m,221,0.0,-0.541647407412106,True,0.0,True,7.528841716620978,64,983.8469625381532,15.372608789658644,553.2576805724774,0.5623411990266954,56.23411990266954,Rh,S
Sc-O,ScO3_1186987_POSCAR,35,global_gradient_fallback,6.115019456,-0.048810108393497,-0.0220340696908245,-0.0267760387026724,5.678232,10.701284,0.00396191,mp-1186987,ScO3,Hexagonal,P6_3/mmc,194,0.6929377642187491,-1.787520136249999,False,0.0,True,4.105059039329238,8,75.20180983337639,9.400226229172048,48.38461512452266,0.6433969505750964,64.33969505750964,Sc,O
Sc-S,Sc2S3_1105836_POSCAR,35,local_max_drop,8.67482,-0.13466562799008,-0.069980364501346,-0.0646852634887339,8.05519,15.180935,0.00891883,mp-1105836,Sc2S3,Orthorhombic,Pnma,62,0.093005298999999,-2.078628673687498,False,1.3929,False,3.092459446386907,20,399.73057971565817,19.986528985782908,222.82478933871428,0.5574374357278772,55.74374357278772,Sc,S
Ta-O,TaO2_510_POSCAR,35,local_max_drop,14.774155769,-0.22338728687536,-0.165154767070598,-0.0582325198047619,14.264702,24.963229,0.01321108,mp-510,TaO2,Tetragonal,I4_1/a,88,0.068790372052777,-3.054668550569444,False,0.4284,False,9.831712364160078,48,575.4542339814828,11.988629874614226,367.8087541367368,0.6391624779470686,63.91624779470686,Ta,O
Ta-S,TaS2_1217915_POSCAR,35,global_gradient_fallback,4.675236958,-0.023141356180569,-0.0219832602597335,-0.0011580959208354,4.508264,8.181665,0.00513697,mp-1217915,TaS2,Orthorhombic,Cmcm,63,0.017533103333329,-1.363540545777777,False,0.0,True,3.588610116693385,6,226.8072496022327,37.80120826703878,60.55524559549446,0.2669899031080105,26.69899031080105,Ta,S
Tc-O,Tc2O7_27485_POSCAR,35,local_max_drop,4.687697691,-0.37474705355392,-0.2569173906437315,-0.1178296629101884,4.411951,13.511599,0.0271782,mp-27485,Tc2O7,Orthorhombic,Pbca,61,0.0,-1.799278561388888,True,2.6664,False,3.708062960045716,36,551.7048267620728,15.325134076724243,140.16559942545692,0.2540590414045887,25.405904140458876,Tc,O
Ti-O,TiO2_1445035_POSCAR,35,global_gradient_fallback,4.995984048,-0.010025564397064,-0.0086718091235431,-0.0013537552735208,4.651433,8.44149,0.00183377,mp-1445035,TiO2,Hexagonal,P6_3/mmc,194,2.7445488075,-0.763506644444444,False,0.0,True,2.355580094225261,6,112.60095248000432,18.76682541333405,39.13161107247118,0.3475246897171689,34.75246897171689,Ti,O
Ti-S,TiS2_1062030_POSCAR,35,global_gradient_fallback,4.7809958742,-0.014123817307301,-0.0079471195741287,-0.0061766977331722,4.439496,8.366743,0.00166025,mp-1062030,TiS2,Monoclinic,C2/m,12,0.003540926666667,-1.603972986111109,False,0.051099999999999,False,1.633573734481817,3,113.84572943344102,37.94857647781368,26.85538120043675,0.2358927412919562,23.589274129195623,Ti,S
V-O,VO2_1420871_POSCAR,35,global_gradient_fallback,4.2430864282,-0.013736790580653,-0.0117039911257443,-0.0020327994549086,2.341013,7.169353,0.00330027,mp-1420871,VO2,Trigonal,R-3m,166,0.307593889999983,-2.214874286666668,False,0.0,True,2.563009623267051,3,53.735891952075775,17.91196398402526,17.410995512718763,0.3240105426787503,32.401054267875026,V,O
V-S,VS2_611224_POSCAR,35,global_gradient_fallback,3.6970137637,-0.012723441122082,-0.012222239667271,-0.0005012014548109,2.039732,6.246678,0.00393339,mp-611224,VS2,Triclinic,P1,1,2.2572998933333333,1.056313655,False,0.0,True,1.409588853833271,3,135.55776947788613,45.18592315929538,24.70057117691992,0.1822143523905458,18.221435239054586,V,S
Y-O,Y2O3_13061_POSCAR,35,global_gradient_fallback,5.117971124,-0.037764812681151,-0.0364242219339465,-0.0013405907472044,4.935186,8.956449,0.00844952,mp-13061,Y2O3,Trigonal,P-3m1,164,0.057234046250002,-3.896637876499996,False,4.083600000000001,False,5.546597092739123,5,67.60292017546927,13.520584035093853,61.07460531540549,0.9034314665236508,90.34314665236506,Y,O
Y-S,YS_22562_POSCAR,35,global_gradient_fallback,5.2635924967,-0.042289261311805,-0.0240505045135409,-0.018238756798264,4.887622,9.211287,0.0053422,mp-22562,YS,Tetragonal,I4/mmm,139,0.206838924999999,-2.035623006406251,False,0.0,True,2.582487218430344,4,155.56849302200277,38.89212325550069,67.15992055089139,0.4317064416211363,43.17064416211363,Y,S
Zn-O,ZnO_997630_POSCAR,35,local_max_drop,3.8193468875,-0.26250185075305,-0.1488634922327437,-0.1136383585203062,3.513799,7.48592,0.03769286,mp-997630,ZnO,Hexagonal,P6_3/mmc,194,0.173243653333332,-1.617655459166667,False,0.5425999999999991,False,6.597744974458736,24,245.86914945500465,10.244547893958526,105.72560093395477,0.4300075921208777,43.00075921208777,Zn,O
Zn-S,ZnS_1196782_POSCAR,35,local_max_drop,5.0331996893,-0.20418668455095,-0.1450779911896333,-0.0591086933613166,4.839615,9.485646,0.02932949,mp-1196782,ZnS,Trigonal,R3m,160,0.011916026190476,-0.95078232343006,False,1.986399999999999,False,3.979843096537789,36,732.0562295580811,20.33489526550225,224.1945823787422,0.3062532266327155,30.625322663271547,Zn,S
Zr-O,ZrO_33088_POSCAR,35,global_gradient_fallback,4.3094666666,-0.02602060110828,-0.0220163003379582,-0.0040043007703217,2.462552,7.541567,0.00631051,mp-33088,ZrO,Cubic,F-43m,216,0.424779198749998,-2.4818551725,False,0.0,True,5.60736845212293,2,31.752620841957857,15.876310420978928,23.65355793249233,0.7449324592833786,74.49324592833786,Zr,O
Zr-S,Zr3S_1188005_POSCAR,35,local_max_drop,6.19385045,-0.082180086771927,-0.0244702647680755,-0.0577098220038514,5.339526,10.465471,0.00419812,mp-1188005,Zr3S,Cubic,Pm-3m,221,0.615779533374999,-0.338658789375,False,0.0,True,6.513568106794313,4,77.9431832570406,19.48579581426015,72.19694077214703,0.9262765229135737,92.62765229135736,Zr,S
