chemsys,n_configurations,ligand_examples,packing_fraction_min,packing_fraction_median,packing_fraction_max,packing_fraction_range,volume_per_atom_median,delta_E_min,delta_E_mean,delta_E_max,packing_vs_delta_corr,packing_vs_delta_slope
Hf-Y-O,7,O,0.6614574118925985,0.7437845858940643,0.7882549616805299,0.12679754978793134,14.44175257633872,-0.1503718604365533,-0.11700274027551036,-0.071159980746886,-0.09091511436065987,-0.06930347748941659
Cu-Ta-S,2,S,0.5762242803274814,0.5819549249913225,0.5876855696551637,0.011461289327682311,18.327992995911416,-0.1491203973828143,-0.1163172490463397,-0.0835141007098651,1.0,5.724163730383431
Mo-V-S,3,S,0.4817786432466974,0.53961802890912,0.5682116253977942,0.08643298215109685,17.20682820426398,-0.148720402357862,-0.11287326302570243,-0.0716508190520358,0.4357715856800092,0.38412770220416853
Mn-Sc-O,6,O,0.5094765887256724,0.6107226695347887,0.6537701635512737,0.14429357482560135,11.00608292209995,-0.1483679511849748,-0.09038913211456334,-0.0185350740921301,-0.6980420185455474,-0.654069623711903
Ag-Y-O,3,O,0.6589456961330687,0.6865053141052377,0.7311007780618339,0.07215508192876519,13.692704604821385,-0.1376075737936784,-0.10450253621863827,-0.0715122487933031,-0.6147614606785761,-0.5579748200338952
Nb-Ni-S,4,S,0.468133642831608,0.5211472517816742,0.5731650763630635,0.10503143353145544,17.78479938070489,-0.1340037573400173,-0.10782791266151273,-0.0832675450008933,-0.3947431440001925,-0.1923268531138767
Pd-Ta-S,1,S,0.49117865537968647,0.49117865537968647,0.49117865537968647,0.0,19.464633534092957,-0.1334791436342682,-0.1334791436342682,-0.1334791436342682,,
Co-Ni-O,12,O,0.3203271493492468,0.42156672290508945,0.48936137270228763,0.16903422335304086,9.76196576853701,-0.131213361331175,-0.05735368996009418,-0.0165657527579011,0.2447545183820724,0.1489636902723076
Cd-Nb-O,1,O,0.45814508700279594,0.45814508700279594,0.45814508700279594,0.0,13.536146893874124,-0.1274741536498836,-0.1274741536498836,-0.1274741536498836,,
Co-Nb-S,4,S,0.5071822277223279,0.5217303576608638,0.5831788753908476,0.07599664766851966,17.831153282560827,-0.1271699041378486,-0.10741822172198942,-0.0816072052808933,-0.4610689563445597,-0.2702073060618204
Rh-Y-O,1,O,0.777274249944849,0.777274249944849,0.777274249944849,0.0,11.408433003358589,-0.1266734175360264,-0.1266734175360264,-0.1266734175360264,,
Cr-Mo-O,2,O,0.4868848506382181,0.49342586092499174,0.4999668712117654,0.013082020573547293,11.34351040709037,-0.1255972725962765,-0.06835720951364375,-0.011117146431011,0.9999999999999998,8.750951393300102
Cr-Sc-O,1,O,0.6819374554925581,0.6819374554925581,0.6819374554925581,0.0,10.394443607046103,-0.1234714790702177,-0.1234714790702177,-0.1234714790702177,,
Cu-Fe-O,12,O,0.42985772993095855,0.4375483554602956,0.47066778410997184,0.04081005417901329,11.009178968582415,-0.1226545211031271,-0.05563685606027293,-0.011565818738085,-0.210119697194582,-0.516147492747557
Co-Ta-O,3,O,0.5052410860313351,0.5062355303692117,0.5086546581706906,0.0034135721393554475,11.261427123597294,-0.1198146512849112,-0.09889405936032424,-0.0617403585878352,0.9770975111263964,17.95497997988788
Fe-V-O,10,O,0.382849448368943,0.5328208243613011,0.5662466376612142,0.18339718929227117,11.355593867737324,-0.1190023270476052,-0.05714654143952119,-0.0068468133448157,0.18521209105189776,0.10884055928878167
Ni-Ta-S,2,S,0.4265511121078146,0.5943921639603046,0.7622332158127946,0.33568210370498,18.255262574057006,-0.1189190426495346,-0.09171708250715765,-0.0645151223647807,-0.9999999999999998,-0.16206976685467792
Fe-Nb-S,4,S,0.48243871289013296,0.5330795362910472,0.5532296847539626,0.07079097186382965,17.678229526161168,-0.1175487781213058,-0.08942335816925595,-0.071928549349794,0.9913222745417909,0.6153032865834431
Hf-Y-S,1,S,0.6447280029182895,0.6447280029182895,0.6447280029182895,0.0,20.193857402979194,-0.1141720369064939,-0.1141720369064939,-0.1141720369064939,,
Y-Zr-S,2,S,0.6383766455002172,0.7068793406000207,0.7753820356998242,0.137005390199607,20.01162908361217,-0.1132069125631041,-0.06796745998970816,-0.0227280074163122,0.9999999999999998,0.6604039812957039
Cu-Nb-O,2,O,0.5141268176405981,0.5274460661009513,0.5407653145613046,0.026638496920706523,11.791449681012622,-0.1101379469421615,-0.091355618127491,-0.0725732893128205,-1.0,-1.4101643099893373
Fe-Sc-O,4,O,0.5760946659123999,0.614711840288696,0.6719256721953851,0.09583100628298524,11.02083933954431,-0.1084303764131949,-0.0715533978502216,-0.0039595218433226,-0.5154558408169699,-0.546337659119788
Cr-Fe-S,1,S,0.5116704078238116,0.5116704078238116,0.5116704078238116,0.0,14.567254134600324,-0.1074699567658444,-0.1074699567658444,-0.1074699567658444,,
Cr-Mn-S,1,S,0.4988816676263198,0.4988816676263198,0.4988816676263198,0.0,15.218231432112235,-0.1040611192051136,-0.1040611192051136,-0.1040611192051136,,
Hg-Y-O,2,O,0.5823659971491695,0.6368639119387616,0.6913618267283538,0.1089958295791843,15.3239072284393,-0.1037741008874613,-0.08272521031305505,-0.0616763197386488,1.0,0.386232953236334
Cr-Nb-S,2,S,0.526236869753582,0.5317133894237434,0.5371899090939046,0.010953039340322657,17.973384478417877,-0.1034012614211289,-0.0926204197821361,-0.0818395781431433,1.0,1.9685570925148095
Cr-Ti-O,6,O,0.48416868799744117,0.5525193385180225,0.6094024564995381,0.1252337685020969,11.191448143252236,-0.1019359369088299,-0.06419831538139154,-0.0052286476163914,-0.6129490188234951,-0.38105603404664296
Mn-Nb-S,4,S,0.5052560213487637,0.5214355117175125,0.562187260189121,0.056931238840357334,18.445017604665416,-0.1017802464092388,-0.09259495856418468,-0.0746660644097606,-0.2850452953302858,-0.14009732984069204
Nb-V-S,3,S,0.4142234531123408,0.5353070535051898,0.5544570732107061,0.14023362009836532,18.35049421130927,-0.1013326852001243,-0.08009047637870197,-0.0612305249176932,-0.7300617017011347,-0.19352458669028486
Cr-V-O,22,O,0.38150675544240853,0.5844751802761082,0.6011140230092747,0.21960726756686622,10.225747983157799,-0.1011910172856162,-0.07741829153761441,-0.0109025314474572,-0.6154639876263804,-0.23042542687806616
Nb-Ti-S,2,S,0.5428803401704002,0.5485956368894503,0.5543109336085005,0.011430593438100267,18.37176251256944,-0.1004623100644051,-0.09310505821316095,-0.0857478063619168,1.0,1.2872913188778279
Ta-Zn-O,3,O,0.47935909886581646,0.4809158953470652,0.4973425319798088,0.017983433113992364,11.46283608938221,-0.0995405697778319,-0.08574732038736137,-0.0685232960546182,-0.7030725509188577,-1.1142345385402221
Mo-Zn-O,2,O,0.5290922637182237,0.5346363138459629,0.5401803639737022,0.011088100255478461,13.98418675741432,-0.0984152802727453,-0.09604896078868985,-0.0936826413046344,1.0,0.4268214445276633
Cr-V-S,4,S,0.4556507707035898,0.49294589236540676,0.5754176403150527,0.11976686961146293,16.4895669505369,-0.097098187370319,-0.04992445419386107,-0.0049205257513253,-0.21743948044760772,-0.2210557572127092
Cd-Co-O,3,O,0.4069842351917259,0.4136135069020078,0.4588581693020615,0.05187393411033564,11.771863783232773,-0.0963921453643815,-0.09537769577365253,-0.0941303284724344,0.9738009974686241,0.03962526710118475
Mn-Re-O,2,O,0.4830034095710756,0.483568996946248,0.4841345843214204,0.0011311747503447989,11.455639590304198,-0.0958190430287106,-0.0957263246164913,-0.095633606204272,0.9999999999999998,0.16393295941413571
Co-Sc-O,2,O,0.6277515958529059,0.6356271419244341,0.6435026879959624,0.01575109214305659,10.250180286344136,-0.094546951789356,-0.0908500111908267,-0.0871530705922974,-1.0,-0.46942022368385217
Cu-Y-S,1,S,0.4733681109264216,0.4733681109264216,0.4733681109264216,0.0,22.173472729165788,-0.0932021970910662,-0.0932021970910662,-0.0932021970910662,,
Sc-Ta-O,1,O,0.7228308690086478,0.7228308690086478,0.7228308690086478,0.0,11.41319774744294,-0.087828611959432,-0.087828611959432,-0.087828611959432,,
Co-Mo-O,2,O,0.3832583581438368,0.4074803431213384,0.43170232809884007,0.048443969955003274,12.766577951620661,-0.087528060293739,-0.054978053403091,-0.022428046512443,1.0,1.34382078598768
Ag-V-O,3,O,0.4297317616285328,0.44080751560646686,0.4683474405852276,0.038615678956694766,12.797457772282167,-0.0859675241685584,-0.07656409192096016,-0.0635192948890931,0.008340782544049165,0.004890449820166139
Re-Sc-O,2,O,0.5604310002329459,0.6245959988155256,0.6887609973981055,0.12832999716515958,12.974708017018909,-0.0828528051499394,-0.0535670448326228,-0.0242812845153062,-1.0,-0.4564133244642117
Mn-Tc-O,1,O,0.46628067014493085,0.46628067014493085,0.46628067014493085,0.0,12.44554494610357,-0.0819297982643207,-0.0819297982643207,-0.0819297982643207,,
Cd-Zr-O,1,O,0.6288619944324461,0.6288619944324461,0.6288619944324461,0.0,12.851240518143896,-0.0813086507889681,-0.0813086507889681,-0.0813086507889681,,
Fe-V-S,1,S,0.5813665887381375,0.5813665887381375,0.5813665887381375,0.0,14.506515934586506,-0.0811904316851975,-0.0811904316851975,-0.0811904316851975,,
Ru-Y-O,1,O,0.6807761624842354,0.6807761624842354,0.6807761624842354,0.0,12.280610611517499,-0.0801981166946577,-0.0801981166946577,-0.0801981166946577,,
Cr-Ni-S,2,S,0.44814279119262257,0.4495302055220241,0.45091761985142564,0.0027748286588030746,16.629873619381563,-0.0800082375253229,-0.07565005669044486,-0.0712918758555668,1.0,3.1412251859600557
Y-Zn-S,1,S,0.5024049863690299,0.5024049863690299,0.5024049863690299,0.0,24.017113592175885,-0.0780217644925669,-0.0780217644925669,-0.0780217644925669,,
Nb-Zn-S,1,S,0.571933539772616,0.571933539772616,0.571933539772616,0.0,18.330533834542674,-0.0731411314822143,-0.0731411314822143,-0.0731411314822143,,
Cd-Nb-S,1,S,0.5873287969245679,0.5873287969245679,0.5873287969245679,0.0,18.406403317625838,-0.0722700995035126,-0.0722700995035126,-0.0722700995035126,,
Nb-V-O,9,O,0.4548805629836992,0.5680836906408684,0.6022861426570605,0.14740557967336126,11.235444126201402,-0.0722530215613188,-0.05490609337254413,-0.0170158944772742,0.5302193323006387,0.20434255181025057
Co-Ti-S,1,S,0.5412791647657905,0.5412791647657905,0.5412791647657905,0.0,16.432426146401973,-0.0716295986660072,-0.0716295986660072,-0.0716295986660072,,
Cd-V-O,2,O,0.4093602046768394,0.4247213004974549,0.44008239631807033,0.03072219164123091,14.133606720231192,-0.0714144770558412,-0.07029450922140115,-0.0691745413869611,-1.0,-0.07290937101876463
Co-Ni-S,2,S,0.4349060306383269,0.4462278111469553,0.4575495916555837,0.022643561017256786,14.374912642617488,-0.070761451423057,-0.040762803498024,-0.010764155572991,-0.9999999999999999,-2.6496404785599594
