chemsys,n_configurations,ligand_examples,packing_fraction_min,packing_fraction_median,packing_fraction_max,packing_fraction_range,volume_per_atom_median,delta_E_min,delta_E_mean,delta_E_max,packing_vs_delta_corr,packing_vs_delta_slope
V-Zr-O,8,O,0.661016332146099,0.6851624209976079,0.9415932180560891,0.2805768859099901,12.074445465565539,-1.682540435945942,-0.3932609506119888,-0.1121504420890595,-0.8160448292694493,-3.6530935733457883
Sc-Zr-O,7,O,0.7101710990074146,0.7121502476331805,0.7354662939744606,0.02529519496704602,11.89251616884744,-0.7656138917983809,-0.2842059806405756,-0.1224190822048944,0.21166197583769092,5.639698110964023
Nb-Ni-O,3,O,0.48595499255951097,0.4875749387672984,0.9230559133229883,0.43710092076347734,10.938896929834263,-0.6736869076334131,-0.3744868521919469,-0.1565895116510073,-0.9661496157904674,-1.0277890652390538
Hf-Re-S,2,S,0.8437803356788579,0.9090185876052564,0.974256839531655,0.13047650385279708,20.89771256179658,-0.6453948569173479,-0.4948784133541204,-0.3443619697908929,1.0,2.307180819820851
Mn-Ni-O,25,O,0.3108751477075778,0.4581521971771112,0.5338386121398879,0.22296346443231013,11.017868829003106,-0.6350591431579156,-0.11291682540896232,-0.0138991671957283,-0.14790986881164236,-0.35440827445960355
W-Y-O,13,O,0.5919883077015144,0.7050893918855796,0.8142577625773844,0.2222694548758699,13.128131140010533,-0.6203389839486121,-0.14265991613854284,-0.0769367110832677,-0.2168426857970286,-0.4679665313792428
Pd-Zr-O,1,O,0.9279124231696521,0.9279124231696521,0.9279124231696521,0.0,17.474007357303698,-0.615224495228623,-0.615224495228623,-0.615224495228623,,
Mo-Zr-S,1,S,0.9315530741124083,0.9315530741124083,0.9315530741124083,0.0,20.556071047897298,-0.5950515038733954,-0.5950515038733954,-0.5950515038733954,,
V-Zr-S,1,S,0.9634059209384845,0.9634059209384845,0.9634059209384845,0.0,19.788619478274974,-0.5805452630366019,-0.5805452630366019,-0.5805452630366019,,
Ni-Ti-O,8,O,0.5043497921937391,0.5652948063401178,0.9543436719525792,0.4499938797588401,10.378172318481512,-0.5654934752935433,-0.28888011661507557,-0.080947919807489,-0.9692177019112966,-1.0513910356790042
Mn-Ti-O,22,O,0.4045160148400374,0.48338903231398134,0.879021053264883,0.4745050384248456,11.639744127896762,-0.5482996504240986,-0.12600070402391622,-0.0060734070991846,-0.7483127015152831,-0.8409142533061845
Ti-Y-O,15,O,0.6662792415703149,0.7635161717309539,0.8407885438175148,0.17450930224719985,12.69736845693993,-0.5275801206245934,-0.193425483499937,-0.0606118817541705,0.1216138426564716,0.34481099454546066
Fe-Zr-S,1,S,0.8934148949146223,0.8934148949146223,0.8934148949146223,0.0,19.155958142025092,-0.5264480911261191,-0.5264480911261191,-0.5264480911261191,,
Ni-Zr-O,4,O,0.7562420949550422,0.922522572380706,0.9462867634637636,0.19004466850872137,16.52172105471385,-0.5248567787815661,-0.23594821396428844,-0.0758376278289203,-0.36573571901673896,-0.8143769346724158
Mo-Zr-O,1,O,0.9459344877839992,0.9459344877839992,0.9459344877839992,0.0,17.63142248090928,-0.5231745838516739,-0.5231745838516739,-0.5231745838516739,,
Co-Zr-O,3,O,0.6020570518481798,0.8961881940852547,0.9318752151413114,0.3298181632931316,17.5981306176338,-0.5120746412862286,-0.24599014244986184,-0.0705078201572078,-0.7204659019591544,-0.9326692912605287
Fe-Ti-O,47,O,0.441211023788065,0.5369646203888432,0.9727958882704799,0.5315848644824149,10.90203213095446,-0.5027603407092435,-0.11417333040357486,-0.0003165432180874,-0.7416037045492269,-0.7772712681943551
Co-Ti-O,7,O,0.3282545299104946,0.49157172370043306,0.9016724273062376,0.5734178973957431,11.755071021347804,-0.5019698615955894,-0.15703880378174911,-0.0698973583775406,-0.9313071742913694,-0.740795587947114
Re-Zr-O,1,O,0.9755912066012473,0.9755912066012473,0.9755912066012473,0.0,16.870773763621944,-0.4671945722415485,-0.4671945722415485,-0.4671945722415485,,
W-Zr-O,1,O,0.965245068981726,0.965245068981726,0.965245068981726,0.0,17.928833767531145,-0.4392086670004483,-0.4392086670004483,-0.4392086670004483,,
Cu-Ti-O,3,O,0.9353801340251222,0.9451177456692197,0.962666194814154,0.02728606078903184,13.222439109121623,-0.436577353302924,-0.4205966464358743,-0.3956122437604805,-0.8640496495485446,-1.3694565306137432
Hf-Mo-S,2,S,0.9552354965213228,0.9589011166119095,0.962566736702496,0.00733124018117326,19.702748769204803,-0.4326762686599343,-0.42406415005298703,-0.4154520314460397,-1.0,-2.3494302175676243
Hf-Mo-O,1,O,0.9786099292514592,0.9786099292514592,0.9786099292514592,0.0,17.042715483317625,-0.4300564492163088,-0.4300564492163088,-0.4300564492163088,,
W-Zr-S,1,S,0.9602035671521069,0.9602035671521069,0.9602035671521069,0.0,20.68964262791069,-0.4246102898898425,-0.4246102898898425,-0.4246102898898425,,
Hf-V-S,1,S,0.9954266240971977,0.9954266240971977,0.9954266240971977,0.0,19.152062754860772,-0.4221111910890559,-0.4221111910890559,-0.4221111910890559,,
Hf-Sc-O,3,O,0.7295153445651581,0.7313808844902885,0.7462859504030285,0.016770605837870378,11.810184660756471,-0.4066038791663773,-0.2666985178105457,-0.1518623240633223,0.8305119647371784,11.674857027490138
Sc-Ti-O,6,O,0.6402774593128618,0.7082416764064392,0.7709236181109883,0.13064615879812647,11.016268383513296,-0.4047621105822355,-0.16067851999425792,-0.0585259696980869,0.02945441414972379,0.08938455779064848
Hf-Zr-O,2,O,0.7327318326080512,0.7379070560747463,0.7430822795414413,0.010350446933390156,11.229526768099706,-0.3979379009292224,-0.2440241589313402,-0.090110416933458,-1.0,-29.74050163985924
Fe-Y-O,16,O,0.5035205950938989,0.6039626459204785,0.7739626849992896,0.27044208990539065,12.735312714296306,-0.3939728826567863,-0.0833272719874749,-0.009643855978874,-0.46886056813211513,-0.7008205871941672
Mo-Y-O,10,O,0.5418186868497996,0.6898607243188799,0.7913312982745194,0.2495126114247198,13.014849475848482,-0.3829448779837827,-0.11675749319838054,-0.0617954776362834,-0.5142301944128227,-0.5392254606906283
Y-Zr-O,17,O,0.714312992564612,0.7380363034098454,0.7905650371071198,0.07625204454250778,12.551768617108912,-0.3597777701864945,-0.1794250790686455,-0.0678138474795236,0.20011217249263097,0.8506879168040669
Hf-Re-O,1,O,1.0128205860092632,1.0128205860092632,1.0128205860092632,0.0,16.25063585763063,-0.3573132958079261,-0.3573132958079261,-0.3573132958079261,,
Nb-Sc-O,4,O,0.672565654087433,0.700579486565664,0.7111573096831239,0.03859165559569089,11.586962697134027,-0.3531069211261067,-0.17820564219079554,-0.0827903570855751,-0.41123269483106073,-3.032687831781758
Hf-W-O,1,O,1.0007708105752715,1.0007708105752715,1.0007708105752715,0.0,17.29238923021214,-0.337457877800983,-0.337457877800983,-0.337457877800983,,
Ta-Y-O,12,O,0.6474386301474544,0.7733118263353821,0.7944163834354369,0.14697775328798246,13.305416735170201,-0.3284532502194223,-0.1576905362593282,-0.0847196247403858,-0.18813115843603548,-0.3738720966932556
Fe-Ni-S,5,S,0.29693733678785855,0.4385333259618959,0.4586950076332453,0.16175767084538673,14.76763460605045,-0.3277943305434015,-0.1460327564090103,-0.0278240636758687,-0.7119221076848388,-1.2042495732097873
Fe-Mn-O,46,O,0.35342604748497175,0.44279544216739153,0.5661124503533442,0.21268640286837248,11.556022189688075,-0.3220387144193555,-0.10036944857506622,-0.001249345968293,-0.1373407750107801,-0.19972663801389506
Hf-W-S,1,S,0.9877677382124878,0.9877677382124878,0.9877677382124878,0.0,20.11228741928046,-0.3212614097832339,-0.3212614097832339,-0.3212614097832339,,
Cu-Ti-S,5,S,0.45577790739144447,0.5166035883018586,0.5171857870205082,0.061407879629063744,17.559192051577302,-0.3193036842542144,-0.14340824115770773,-0.0746548354496839,0.4155490929347069,1.5123507783703103
Cr-Mn-O,30,O,0.3541101678681386,0.4193817285400381,0.5113725235138848,0.15726235564574625,11.507041133813978,-0.3170669570586604,-0.09834576234206052,-0.0209408772193478,-0.27098348447341214,-0.3722536010152679
Ag-Mn-O,7,O,0.4950534422171652,0.5054945417077735,0.5303788427775955,0.03532540056043032,12.50607134322513,-0.315894335438202,-0.07989811220968908,-0.0036573928162635,0.3340977255251829,2.747958442123745
Fe-Zn-O,41,O,0.3546715892456298,0.4091714979401522,0.46217055162498266,0.10749896237935286,11.112035656337685,-0.3062771089390109,-0.09912649642456905,-0.0023102320933117,-0.044303728698567295,-0.13903779362287452
Cu-Nb-S,5,S,0.5121247868551466,0.51863035956842,0.5757253478191066,0.06360056096395994,18.360942712949285,-0.3036173486410566,-0.13001653290923887,-0.0727886254517239,-0.16172099554854447,-0.5950645628992836
Cd-Mn-O,14,O,0.4603165442285637,0.5160099700581345,0.5449522948456753,0.0846357506171116,12.424493362136934,-0.2906985595121067,-0.12321692264622033,-0.026522907044545,-0.17182200997944316,-0.5082479836145426
Mn-Nb-O,7,O,0.43310536128858373,0.517667405520179,0.6352182169424677,0.20211285565388398,12.19640165649429,-0.288855134739378,-0.12676159709152784,-0.0025152202465023,-0.42267683707097853,-0.5070946030592728
Co-Ru-O,6,O,0.4203501470467642,0.4365964327619539,0.4677773443325111,0.0474271972857469,10.971455993921184,-0.2879931942107602,-0.17438123580525108,-0.0928025195507047,0.7300278918321611,2.811539012926101
Mn-Y-O,13,O,0.5271199887711921,0.6558887225657118,0.7508043521476285,0.22368436337643638,11.884098300793857,-0.2812557716728497,-0.1110087159180673,-0.0157778471471322,0.12017220344131724,0.11591515195281882
Mn-V-O,22,O,0.31752447584557547,0.5098848757862109,0.6179037025247756,0.3003792266792001,11.76550550630219,-0.2735121298111647,-0.11637568478743826,-0.0094441374567517,-0.4753503480960187,-0.5569820068416936
Cr-Y-O,12,O,0.5535475591331116,0.6509102079217093,0.7948422713454315,0.2412947122123199,11.831687796324202,-0.269368947980449,-0.13155390159755612,-0.058876223382489,0.1607539173096503,0.16309302633181105
Ti-Zr-O,8,O,0.6262615370547713,0.6680013434173999,0.9783602745521842,0.35209873749741294,11.590721305718763,-0.2675109238076715,-0.12354663191159172,-0.0425707778275187,0.14051525783796434,0.059751344649479766
V-Y-O,16,O,0.5152365924596375,0.6895779376705551,0.8444373314150254,0.32920073895538793,12.977634577307796,-0.2671573215251182,-0.12716340773192825,-0.0083490521405091,-0.1710583124858968,-0.10226269288158475
Cu-Mn-O,25,O,0.3722670258210362,0.4782839743082019,0.5131123199738009,0.1408452941527647,11.003155376291812,-0.266180578806617,-0.09261964334905146,-0.0034206100933885,-0.2823474609961394,-0.5973859771217696
Mn-Ta-O,8,O,0.515771323711843,0.5283594606451829,0.6742194608152239,0.1584481371033809,12.201523198404573,-0.2613191249512975,-0.11893358916867572,-0.0089622402876112,0.45127141586217434,0.7723458209394669
Pd-Rh-S,1,S,0.5389778574113157,0.5389778574113157,0.5389778574113157,0.0,15.952673204072813,-0.246208325027202,-0.246208325027202,-0.246208325027202,,
Ti-V-O,22,O,0.49155506862982123,0.5298825404307235,0.7270061020365808,0.23545103340675955,11.58721913491841,-0.2435766555233249,-0.0882764848112314,-0.0542922470262128,-0.6243248568940831,-0.4191895364657054
Co-Fe-O,25,O,0.3139933620954037,0.3704649376625515,0.4666321804855523,0.1526388183901486,11.061121991629506,-0.2411665499806341,-0.06007501114647493,-0.0037843479158151,-0.33429446914207295,-0.4312553609320642
Co-Cu-O,8,O,0.41824409992254347,0.4484052360223291,0.47768066910863316,0.059436569186089694,9.768655575305942,-0.2392624957674635,-0.12427751659298533,-0.0848997289091379,-0.30236098817360574,-0.902035252172739
Ni-V-O,5,O,0.44468767564383693,0.5886878968808045,0.6498406251819079,0.20515294953807095,10.467794589298233,-0.2387352840327429,-0.15519861617117164,-0.1008355522766583,-0.5672946044413794,-0.4276931144694252
Ni-Y-O,9,O,0.49418861711498346,0.6511687375436533,0.7680105842198743,0.2738219671048909,11.049699261079581,-0.2354999762185596,-0.09388385760637502,-0.0011078427757866,0.21800632718499316,0.1831739510626463
Au-Ta-S,1,S,0.9557234270974232,0.9557234270974232,0.9557234270974232,0.0,17.680458255286094,-0.2339202903548504,-0.2339202903548504,-0.2339202903548504,,
Co-Ta-S,2,S,0.7617462881693462,0.7687980539135892,0.7758498196578323,0.014103531488486087,17.681364703162323,-0.22959019376602,-0.17136275086400604,-0.1131353079619921,1.0,8.257143673490607
V-Zn-O,21,O,0.30316138963789285,0.5355130270643083,0.6510766255221865,0.3479152358842936,11.349031398842413,-0.228850776975111,-0.09925584339038045,-0.0009746624453963,-0.3610694765803302,-0.29994857042609746
Fe-Ni-O,15,O,0.4130140998246373,0.42159170073444924,0.44928658985131753,0.036272490026680204,10.834703974320881,-0.2260108003808495,-0.12205619621100182,-0.0178517049771584,0.35788272029031204,2.493838166234259
Ni-Zn-O,37,O,0.25796454573271155,0.40007546904230823,0.47974213807051114,0.2217775923377996,9.817330628944887,-0.2214194399903743,-0.103795252878867,-0.0115609499216781,-0.4050988510069748,-0.4044039082167972
Cu-V-O,9,O,0.41268203765464817,0.4374958761696323,0.5067422755222931,0.09406023786764495,12.46204681668463,-0.2212687401050553,-0.10516433221967882,-0.0578056112861124,-0.5354062405474607,-0.7090113473049031
Cr-Y-S,2,S,0.5917026131853584,0.6116954892020314,0.6316883652187043,0.03998575203334587,20.651814872403378,-0.2192342635108729,-0.19589069032645295,-0.172547117142033,0.9999999999999998,1.1675945554282783
Pd-Ti-O,1,O,0.9310172764342347,0.9310172764342347,0.9310172764342347,0.0,13.732421651927154,-0.2176919121650476,-0.2176919121650476,-0.2176919121650476,,
