chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Ag-Cr-S,Cr5AgS8_676751_POSCAR,mp-676751,Cr5AgS8,Monoclinic,P2_1/m,11,0.011941100297624,-0.905970127976189,False,0.0,True,3.951055022973299,28,524.8160869839636,18.7434316779987,215.6198188590694,0.41084834136507314,41.08483413650731
Ag-Mn-O,Mn3_AgO2_4_31239_POSCAR,mp-31239,Mn3(AgO2)4,Trigonal,R32,155,0.021927685444445,-1.22403709153065,False,0.6517000000000001,False,6.437336914968695,60,747.3269130663098,12.455448551105162,377.8510770598175,0.5056034654358702,50.56034654358702
Ag-Mn-O,Mn3_AgO2_4_704268_POSCAR,mp-704268,Mn3(AgO2)4,Trigonal,P3_121,152,0.019935830111112,-1.226028946863984,False,0.632599999999999,False,6.435950092798424,180,2242.4638401630177,12.458132445350099,1133.5532311794586,0.5054945417077735,50.54945417077735
Ag-Mn-O,Mn3_AgO2_4_705778_POSCAR,mp-705778,Mn3(AgO2)4,Triclinic,P1,1,0.041475869611112,-1.204488907363983,False,0.496399999999999,False,6.303014148052537,60,763.2531052961864,12.720885088269773,377.8510770598175,0.4950534422171652,49.50534422171652
Ag-Mn-O,MnAgO2_1279432_POSCAR,mp-1279432,MnAgO2,Orthorhombic,Cmcm,63,0.000467490624988,-1.430982611774425,False,0.660199999999999,False,6.491874355520343,16,199.31463191919056,12.45716449494941,105.7122638259427,0.5303788427775955,53.03788427775955
Ag-Mn-O,MnAgO2_996995_POSCAR,mp-996995,MnAgO2,Monoclinic,C2/m,12,0.0,-1.431450102399425,True,0.289499999999999,False,6.466486922597943,4,50.02428537290052,12.50607134322513,26.428065956485668,0.5283047175882787,52.83047175882787
Ag-Mn-O,MnAgO2_997160_POSCAR,mp-997160,MnAgO2,Trigonal,R-3m,166,0.045470309999988,-1.385979792399425,False,0.0,True,6.144772210826155,8,105.28669777505384,13.16083722188173,52.85613191297132,0.5020209867907437,50.20209867907437
Ag-Mn-O,MnAgO2_997162_POSCAR,mp-997162,MnAgO2,Hexagonal,P6_3/mmc,194,0.044202019999987,-1.387248082399425,False,0.0,True,6.120415703738995,8,105.7056917206882,13.213211465086024,52.85613191297132,0.5000310868087965,50.00310868087965
Ag-Nb-O,Nb13AgO33_1210284_POSCAR,mp-1210284,Nb13AgO33,Monoclinic,C2/m,12,0.003730815053199,-2.653369768164892,False,1.79,False,4.500350150590352,47,680.2630371101633,14.473681640641772,292.70539195946736,0.43028266419253647,43.02826641925365
Ag-Nb-O,Nb14AgO36_1210596_POSCAR,mp-1210596,Nb14AgO36,Orthorhombic,Immm,71,0.020166799607844,-2.912405788464053,False,0.229199999999999,False,4.422642370016024,51,745.1200321214818,14.610196708264349,314.7946922666744,0.42247514319323975,42.247514319323976
Ag-Rh-S,Ag2_RhS_15_1201221_POSCAR,mp-1201221,Ag2(RhS)15,Cubic,Pm-3m,221,0.063735405975997,-0.462495538718727,False,0.0,True,7.083189685641985,64,1050.4012194270363,16.41251905354744,556.3630318132153,0.5296671610079579,52.966716100795786
Ag-V-O,V16Ag7O40_1100952_POSCAR,mp-1100952,V16Ag7O40,Triclinic,P1,1,0.043771964047619,-2.027801640820106,False,0.4256,False,4.551978339187371,63,806.2398396537765,12.797457772282167,377.6003653996905,0.4683474405852276,46.83474405852276
Ag-V-O,V18Ag7O48_863411_POSCAR,mp-863411,V18Ag7O48,Triclinic,P1,1,0.000728308561659,-2.048039243995434,False,0.7470000000000001,False,4.173018248967424,73,970.9298576367684,13.300409008722854,417.2393981399891,0.4297317616285328,42.973176162853285
Ag-V-O,V6AgO15_757033_POSCAR,mp-757033,V6AgO15,Triclinic,P-1,2,0.02878973545455,-2.174808889621211,False,0.0,True,3.958282344303172,44,548.306463124887,12.461510525565615,241.6976098010503,0.44080751560646686,44.08075156064669
