chemsys,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Co-O,Co15O28_766681_POSCAR,35,local_max_drop,9.8993691099,-0.21732010699529,-0.1070501704387927,-0.1102699365564972,8.432796,17.965522,0.01002028,mp-766681,Co15O28,Triclinic,P-1,2,0.023970381727576,-1.08509475116279,False,0.4962,False,4.695986603605816,43,470.99936198971426,10.953473534644518,159.40662292437395,0.3384433945960527,33.84433945960527
Co-O,Co21O40_850026_POSCAR,35,local_max_drop,13.0868100095,-0.31046804622078,-0.1652265947054371,-0.1452414515153428,12.117417,23.750137,0.01201446,mp-850026,Co21O40,Tetragonal,I-4,82,0.048658195807965,-1.049597354918032,False,0.0,True,4.834274586470409,61,644.9330543088015,10.572673021455762,224.13268043709567,0.3475285984175628,34.752859841756276
Co-O,Co23O32_2740066_POSCAR,35,local_max_drop,9.8910394103,-0.43595153022094,-0.2204992887766194,-0.2154522414443206,8.4257,17.950405,0.02250805,mp-2740066,Co23O32,Tetragonal,I-42m,121,0.004434659181818,-1.332651985636364,False,0.0,True,6.004672964463483,55,516.4251589850538,9.389548345182797,231.25690779675315,0.4478033336935974,44.780333369359745
Co-O,Co23O32_705564_POSCAR,35,local_max_drop,9.8040115447,-0.43332187480738,-0.2289708424209505,-0.2043510323864295,8.672779,18.476791,0.02251589,mp-705564,Co23O32,Triclinic,P1,1,0.0,-1.272912193454546,True,0.0,True,5.523838474278383,55,561.3785057702239,10.206881923094981,231.25690779675315,0.41194471362857665,41.19447136285766
Co-O,Co29O40_705563_POSCAR,35,local_max_drop,9.905846033,-0.54031480659263,-0.2768684160449475,-0.2634463905476825,8.38187,18.66871,0.02709873,mp-705563,Co29O40,Triclinic,P1,1,0.095079775942028,-1.181368133913043,False,0.0,True,5.358234126387961,69,727.9768600684695,10.55038927635463,291.1659235946139,0.39996590491520356,39.99659049152036
Co-O,Co2O3_1043418_POSCAR,35,local_max_drop,6.695793312,-0.14459592567031,-0.0674644845584989,-0.077131441111811,5.665671,12.618995,0.00962783,mp-1043418,Co2O3,Orthorhombic,Cmcm,63,0.300602043428572,-0.929350249999999,False,0.151899999999999,False,4.870760585879938,20,226.18613791865016,11.309306895932508,81.48436830210153,0.36025359048045685,36.02535904804569
Co-O,Co3O4_1271784_POSCAR,35,global_gradient_fallback,6.4430477383,-0.11121007134701,-0.0989989340656185,-0.0122111372813914,4.123551,12.628374,0.01470969,mp-1271784,Co3O4,Orthorhombic,Imma,74,0.030381710714285,-1.259956513571428,False,0.0,True,5.449735925574735,14,146.7422048365646,10.481586059754616,59.90901579786082,0.40826029474332215,40.826029474332216
Co-O,Co3O4_1271793_POSCAR,35,local_max_drop,6.5807666898,-0.11750007019985,-0.0580787761074763,-0.0594212940923736,5.568341,12.402214,0.00857373,mp-1271793,Co3O4,Trigonal,R-3m,166,0.0,-1.290338224285714,True,0.0,True,5.524739582189392,14,144.750038065255,10.3392884332325,59.90901579786082,0.413879102199981,41.3879102199981
Co-O,Co3O4_1271940_POSCAR,35,global_gradient_fallback,6.4430477383,-0.11121007134701,-0.0989989340656185,-0.0122111372813914,4.123551,12.628374,0.01470969,mp-1271940,Co3O4,Tetragonal,I4_1/amd,141,0.089898100714285,-1.200440123571428,False,0.0,True,5.449735925574735,14,146.7422048365646,10.481586059754616,59.90901579786082,0.40826029474332215,40.826029474332216
Co-O,Co3O4_18748_POSCAR,35,global_gradient_fallback,6.4051531213,-0.11254454141021,-0.1098466597744875,-0.0026978816357225,3.941633,12.07125,0.01761549,mp-18748,Co3O4,Cubic,Fd-3m,227,0.010479931428569,-1.279858292857144,False,0.0,True,6.141460782418401,14,130.214340670822,9.301024333630142,59.90901579786082,0.4600800149140949,46.00800149140949
