chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Co-O,Co15O28_766681_POSCAR,mp-766681,Co15O28,Triclinic,P-1,2,0.023970381727576,-1.08509475116279,False,0.4962,False,4.695986603605816,43,470.99936198971426,10.953473534644518,159.40662292437395,0.3384433945960527,33.84433945960527
Co-O,Co21O40_850026_POSCAR,mp-850026,Co21O40,Tetragonal,I-4,82,0.048658195807965,-1.049597354918032,False,0.0,True,4.834274586470409,61,644.9330543088015,10.572673021455762,224.13268043709567,0.3475285984175628,34.752859841756276
Co-O,Co23O32_2740066_POSCAR,mp-2740066,Co23O32,Tetragonal,I-42m,121,0.004434659181818,-1.332651985636364,False,0.0,True,6.004672964463483,55,516.4251589850538,9.389548345182797,231.25690779675315,0.4478033336935974,44.780333369359745
Co-O,Co23O32_705564_POSCAR,mp-705564,Co23O32,Triclinic,P1,1,0.0,-1.272912193454546,True,0.0,True,5.523838474278383,55,561.3785057702239,10.206881923094981,231.25690779675315,0.41194471362857665,41.19447136285766
Co-O,Co29O40_705563_POSCAR,mp-705563,Co29O40,Triclinic,P1,1,0.095079775942028,-1.181368133913043,False,0.0,True,5.358234126387961,69,727.9768600684695,10.55038927635463,291.1659235946139,0.39996590491520356,39.99659049152036
Co-O,Co2O3_1043418_POSCAR,mp-1043418,Co2O3,Orthorhombic,Cmcm,63,0.300602043428572,-0.929350249999999,False,0.151899999999999,False,4.870760585879938,20,226.18613791865016,11.309306895932508,81.48436830210153,0.36025359048045685,36.02535904804569
Co-O,Co3O4_1271784_POSCAR,mp-1271784,Co3O4,Orthorhombic,Imma,74,0.030381710714285,-1.259956513571428,False,0.0,True,5.449735925574735,14,146.7422048365646,10.481586059754616,59.90901579786082,0.40826029474332215,40.826029474332216
Co-O,Co3O4_1271793_POSCAR,mp-1271793,Co3O4,Trigonal,R-3m,166,0.0,-1.290338224285714,True,0.0,True,5.524739582189392,14,144.750038065255,10.3392884332325,59.90901579786082,0.413879102199981,41.3879102199981
Co-O,Co3O4_1271940_POSCAR,mp-1271940,Co3O4,Tetragonal,I4_1/amd,141,0.089898100714285,-1.200440123571428,False,0.0,True,5.449735925574735,14,146.7422048365646,10.481586059754616,59.90901579786082,0.40826029474332215,40.826029474332216
Co-O,Co3O4_18748_POSCAR,mp-18748,Co3O4,Cubic,Fd-3m,227,0.010479931428569,-1.279858292857144,False,0.0,True,6.141460782418401,14,130.214340670822,9.301024333630142,59.90901579786082,0.4600800149140949,46.00800149140949
Co-O,Co5O7_1046082_POSCAR,mp-1046082,Co5O7,Orthorhombic,Cmcm,63,0.407637924285714,-0.861694277499999,False,0.0,True,4.936604523060536,24,273.57985034954805,11.399160431231168,100.65119994891162,0.3679042876158876,36.790428761588764
